phi,EPS,k
0.05,0,1.64501006315934e-10
0.05,214.285714285714,2.57750396754686e-10
0.05,428.571428571429,3.74960517831296e-10
0.05,642.857142857143,4.99327205217745e-10
0.05,857.142857142857,6.38872945746269e-10
0.05,1071.42857142857,7.91403752014813e-10
0.05,1285.71428571429,9.97530642595121e-10
0.05,1500,1.24768844533839e-09
0.05,1714.28571428571,1.40325097143511e-09
0.05,1928.57142857143,1.6811609629813e-09
0.05,2142.85714285714,1.20857882191299e-10
0.05,2357.14285714286,1.89367638432014e-10
0.05,2571.42857142857,2.75481196774014e-10
0.05,2785.71428571429,3.66852640568139e-10
0.05,3000,4.69376041772769e-10
0.0722222222222222,0,5.81439491276189e-10
0.0722222222222222,214.285714285714,7.32879655784171e-10
0.0722222222222222,428.571428571429,9.16669061881264e-10
0.0722222222222222,642.857142857143,1.0309598973809e-09
0.0722222222222222,857.142857142857,1.23513866668014e-09
0.0722222222222222,1071.42857142857,8.87935460997297e-11
0.0722222222222222,1285.71428571429,1.39127244562296e-10
0.0722222222222222,1500,2.02394348650296e-10
0.0722222222222222,1714.28571428571,2.69524388988837e-10
0.0722222222222222,1928.57142857143,3.44847704159585e-10
0.0722222222222222,2142.85714285714,4.27180034406996e-10
0.0722222222222222,2357.14285714286,5.3844219608633e-10
0.0722222222222222,2571.42857142857,6.73471147504602e-10
0.0722222222222222,2785.71428571429,7.57439924606372e-10
0.0722222222222222,3000,9.07448816336429e-10
0.0944444444444444,0,6.52360746855156e-11
0.0944444444444444,214.285714285714,1.02215934780462e-10
0.0944444444444444,428.571428571429,1.48697888804299e-10
0.0944444444444444,642.857142857143,1.98017918440778e-10
0.0944444444444444,857.142857142857,2.53357496933573e-10
0.0944444444444444,1071.42857142857,3.13846555890854e-10
0.0944444444444444,1285.71428571429,3.95590184879752e-10
0.0944444444444444,1500,4.94795128778891e-10
0.0944444444444444,1714.28571428571,5.56486475221008e-10
0.0944444444444444,1928.57142857143,6.66697089553295e-10
0.0944444444444444,2142.85714285714,4.79285446669095e-11
0.0944444444444444,2357.14285714286,7.50974214713602e-11
0.0944444444444444,2571.42857142857,1.09247428509281e-10
0.0944444444444444,2785.71428571429,1.45482552323837e-10
0.0944444444444444,3000,1.86140201828747e-10
0.116666666666667,0,2.30581143103485e-10
0.116666666666667,214.285714285714,2.9063768685043e-10
0.116666666666667,428.571428571429,3.6352295175592e-10
0.116666666666667,642.857142857143,4.08847206284822e-10
0.116666666666667,857.142857142857,4.8981826987589e-10
0.116666666666667,1071.42857142857,3.5212808326709e-11
0.116666666666667,1285.71428571429,5.51736157748768e-11
0.116666666666667,1500,8.02634168639615e-11
0.116666666666667,1714.28571428571,1.06885140482819e-10
0.116666666666667,1928.57142857143,1.36756066649692e-10
0.116666666666667,2142.85714285714,1.69406554116846e-10
0.116666666666667,2357.14285714286,2.13529729114602e-10
0.116666666666667,2571.42857142857,2.6707808700435e-10
0.116666666666667,2785.71428571429,3.00377539311298e-10
0.116666666666667,3000,3.5986648399045e-10
0.138888888888889,0,2.58706346890107e-11
0.138888888888889,214.285714285714,4.05357177121544e-11
0.138888888888889,428.571428571429,5.89690409612778e-11
0.138888888888889,642.857142857143,7.85278583139079e-11
0.138888888888889,857.142857142857,1.00473844885488e-10
0.138888888888889,1071.42857142857,1.24461958126662e-10
0.138888888888889,1285.71428571429,1.56878984655626e-10
0.138888888888889,1500,1.96220635350134e-10
0.138888888888889,1714.28571428571,2.20685539085852e-10
0.138888888888889,1928.57142857143,2.64391702523596e-10
0.138888888888889,2142.85714285714,1.90069969143752e-11
0.138888888888889,2357.14285714286,2.97813436252563e-11
0.138888888888889,2571.42857142857,4.33241933593062e-11
0.138888888888889,2785.71428571429,5.76939367204221e-11
0.138888888888889,3000,7.38175186913789e-11
0.161111111111111,0,9.14414386236703e-11
0.161111111111111,214.285714285714,1.15258029542909e-10
0.161111111111111,428.571428571429,1.44162099440915e-10
0.161111111111111,642.857142857143,1.62136314430422e-10
0.161111111111111,857.142857142857,1.94246965119377e-10
0.161111111111111,1071.42857142857,1.39643242636226e-11
0.161111111111111,1285.71428571429,2.18801708267189e-11
0.161111111111111,1500,3.18300196109188e-11
0.161111111111111,1714.28571428571,4.23873820803101e-11
0.161111111111111,1928.57142857143,5.42332790385641e-11
0.161111111111111,2142.85714285714,6.7181465111268e-11
0.161111111111111,2357.14285714286,8.46793686437697e-11
0.161111111111111,2571.42857142857,1.05915011834142e-10
0.161111111111111,2785.71428571429,1.19120557540718e-10
0.161111111111111,3000,1.42712056006073e-10
0.183333333333333,0,1.02595035406207e-11
0.183333333333333,214.285714285714,1.60752275461608e-11
0.183333333333333,428.571428571429,2.33853205304709e-11
0.183333333333333,642.857142857143,3.11417500998197e-11
0.183333333333333,857.142857142857,3.98448580691491e-11
0.183333333333333,1071.42857142857,4.93578111021561e-11
0.183333333333333,1285.71428571429,6.22134136974635e-11
0.183333333333333,1500,7.78151107352878e-11
0.183333333333333,1714.28571428571,8.75171443156294e-11
0.183333333333333,1928.57142857143,1.0484967380038e-10
0.183333333333333,2142.85714285714,7.53759443800703e-12
0.183333333333333,2357.14285714286,1.18103712584039e-11
0.183333333333333,2571.42857142857,1.71810518183052e-11
0.183333333333333,2785.71428571429,2.28796531345614e-11
0.183333333333333,3000,2.92737732752932e-11
0.205555555555556,0,3.62628816260738e-11
0.205555555555556,214.285714285714,4.57078141450752e-11
0.205555555555556,428.571428571429,5.71702854381706e-11
0.205555555555556,642.857142857143,6.42983101094421e-11
0.205555555555556,857.142857142857,7.70324134043608e-11
0.205555555555556,1071.42857142857,5.53782448506639e-12
0.205555555555556,1285.71428571429,8.67700745515387e-12
0.205555555555556,1500,1.26228135807956e-11
0.205555555555556,1714.28571428571,1.68095410784533e-11
0.205555555555556,1928.57142857143,2.15072619981746e-11
0.205555555555556,2142.85714285714,2.66421171130338e-11
0.205555555555556,2357.14285714286,3.35812512086267e-11
0.205555555555556,2571.42857142857,4.20026586892682e-11
0.205555555555556,2785.71428571429,4.7239574774284e-11
0.205555555555556,3000,5.65952425011629e-11
0.227777777777778,0,4.06860574413041e-12
0.227777777777778,214.285714285714,6.37494425276611e-12
0.227777777777778,428.571428571429,9.27390385527843e-12
0.227777777777778,642.857142857143,1.2349866914782e-11
0.227777777777778,857.142857142857,1.58012537129446e-11
0.227777777777778,1071.42857142857,1.95738003279432e-11
0.227777777777778,1285.71428571429,2.46719396634808e-11
0.227777777777778,1500,3.08590961798705e-11
0.227777777777778,1714.28571428571,3.470662636478e-11
0.227777777777778,1928.57142857143,4.15801781641197e-11
0.227777777777778,2142.85714285714,2.98917973038153e-12
0.227777777777778,2357.14285714286,4.68363251223633e-12
0.227777777777778,2571.42857142857,6.81348038346987e-12
0.227777777777778,2785.71428571429,9.07337161086024e-12
0.227777777777778,3000,1.16090843605307e-11
0.25,0,1.4380751261346e-11
0.25,214.285714285714,1.81263230180676e-11
0.25,428.571428571429,2.2671989030109e-11
0.25,642.857142857143,2.54987459006547e-11
0.25,857.142857142857,3.05487023246594e-11
0.25,1071.42857142857,2.19613204681092e-12
0.25,1285.71428571429,3.44103613143893e-12
0.25,1500,5.00582232254929e-12
0.25,1714.28571428571,6.66615057124426e-12
0.25,1928.57142857143,8.52912320365524e-12
0.25,2142.85714285714,1.05654499062951e-11
0.25,2357.14285714286,1.33172985438864e-11
